OBJECTID,DC_DIST,SECTOR,DISPATCH_DATE_TIME,LOCATION_BLOCK,UCR_GENERAL,TEXT_GENERAL_CODE,DIV_NAME,PSA_NUM,UCR_CATEGORY,UCR_Type,DISPATCH_DATE_TIME_MS,HH,MM,SS,SSS,x,y
1088,24,2,5/11/2018 10:57:00 PM,3100 BLOCK KENSINGTON AV,600,Thefts,EPD,242,Property Crime,Larceny,5/11/2018 10:57:01 PM,18,57,1,911,-75.1158,39.9952
1089,24,2,4/3/2018 1:09:00 PM,600 BLOCK E INDIANA AVE,700,Motor Vehicle Theft,EPD,242,Property Crime,MV Theft,4/3/2018 1:09:01 PM,9,9,1,916,-75.1199,39.9941
1090,24,2,9/28/2018 5:59:00 AM,3200 BLOCK SHELBOURNE ST,300,Robbery Firearm,EPD,241,Violent Crime,Robbery,9/28/2018 5:59:01 AM,1,59,1,921,-75.1138,39.9966
1091,24,2,10/20/2018 5:23:00 PM,1800 BLOCK HART LA,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,10/20/2018 5:23:01 PM,13,23,1,922,-75.1216,39.992
1092,24,2,3/10/2018 5:33:00 PM,1900 BLOCK E WISHART ST,400,Aggravated Assault Firearm,EPD,242,Violent Crime,Agg. Assault,3/10/2018 5:33:01 PM,12,33,1,923,-75.113,39.9947
1093,24,2,2/3/2018 12:45:00 AM,3100 BLOCK E ST,300,Robbery Firearm,EPD,242,Violent Crime,Robbery,2/3/2018 12:45:01 AM,19,45,1,934,-75.1197,39.9957
1094,24,2,5/9/2018 9:46:00 PM,3100 BLOCK KENSINGTON AV,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,5/9/2018 9:46:01 PM,17,46,1,943,-75.1158,39.9952
1095,24,2,3/14/2018 11:53:00 AM,1900 BLOCK E ORLEANS ST,600,Thefts,EPD,242,Property Crime,Larceny,3/14/2018 11:53:01 AM,7,53,1,946,-75.1173,39.9925
1096,24,2,11/19/2018 10:24:00 PM,3100 BLOCK EMERALD ST,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,11/19/2018 10:24:01 PM,17,24,1,959,-75.1138,39.993
1097,24,2,9/17/2018 10:42:00 AM,3100 BLOCK RORER ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,9/17/2018 10:42:01 AM,6,42,1,963,-75.1205,39.9968
1098,24,2,3/14/2018 11:30:00 AM,3100 BLOCK JASPER ST,500,Burglary Residential,EPD,242,Property Crime,Burglary,3/14/2018 11:30:01 AM,7,30,1,976,-75.1129,39.9949
1099,24,2,9/7/2018 1:53:00 AM,800 BLOCK E ALLEGHENY AV,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,9/7/2018 1:53:01 AM,21,53,1,989,-75.1154,39.9967
1100,24,2,2/2/2018 12:56:00 PM,3100 BLOCK G ST,700,Motor Vehicle Theft,EPD,242,Property Crime,MV Theft,2/2/2018 12:56:01 PM,7,56,1,990,-75.1158,39.9952
